experiment_name,dataset,backbone_name,num_classes,num_epochs,lr,batch_size,seed,lora_rank,num_coupling_layers,dia_n_blocks,lambda_logdet,tail_weight,score_aggregation_top_k,tail_top_k,scale_context_kernel,spatial_context_kernel,use_lora,use_dia,use_whitening_adapter,use_router,use_pos_embedding,use_spatial_context,use_scale_context,use_task_adapter,adapter_mode,cl_scenario,Image_AUC,Pixel_AUC,Pixel_AP,Routing_Acc
MVTec-WRN50-TopK10,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,,10,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9802,0.9736,0.4735,100.0
MVTec-WRN50-TopK3,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,,3,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9793,0.9736,0.4735,100.0
MVTec-WRN50-TopK3-TailW0.5-LogdetReg1e-4,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,0.0001,0.5,3,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9818,0.9767,0.5221,100.0
MVTec-WRN50-TopK3-TailW0.5-LogdetReg1e-4-ScaleCtxK5,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,0.0001,0.5,3,,5,3,True,True,True,True,True,True,True,True,whitening,,0.9802,0.9772,0.5317,100.0
MVTec-WRN50-TopK3-TailW0.55-LogdetReg1e-4-Coupling12-lr3e-4,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,12,4,0.0001,0.55,3,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9833,0.9769,0.5153,100.0
MVTec-WRN50-TopK5-TailW0.3,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,0.3,5,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9801,0.9736,0.4735,100.0
MVTec-WRN50-TopK5-TailW0.5,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,1e-05,0.5,5,,3,3,True,True,True,True,True,True,True,True,whitening,,0.982,0.9747,0.4866,100.0
MVTec-WRN50-TopK5-TailW0.5-DIA6,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,6,1e-05,0.5,5,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9824,0.9746,0.4723,100.0
MVTec-WRN50-TopK5-TailW0.5-DIA8,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,8,1e-05,0.5,5,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9828,0.9741,0.4656,100.0
MVTec-WRN50-TopK5-TailW0.5-LogdetReg1e-4,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,0.0001,0.5,5,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9826,0.9767,0.5221,100.0
MVTec-WRN50-TopK5-TailW0.5-LogdetReg1e-4-80ep,mvtec,wide_resnet50_2,15,80,0.0002,16,0,64,8,4,0.0001,0.5,5,,3,3,True,True,True,True,True,True,True,True,whitening,,0.983,0.9768,0.5204,100.0
MVTec-WRN50-TopK5-TailW0.5-LogdetReg1e-4-Coupling12,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,12,4,0.0001,0.5,5,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9828,0.9764,0.5186,100.0
MVTec-WRN50-TopK5-TailW0.5-LogdetReg1e-4-DIA6,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,6,0.0001,0.5,5,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9829,0.9768,0.5098,100.0
MVTec-WRN50-TopK5-TailW0.5-LogdetReg1e-4-LoRA128,mvtec,wide_resnet50_2,15,60,0.0002,16,0,128,8,4,0.0001,0.5,5,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9825,0.9767,0.5221,100.0
MVTec-WRN50-TopK5-TailW0.5-LogdetReg1e-4-ScaleCtxK5,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,0.0001,0.5,5,,5,3,True,True,True,True,True,True,True,True,whitening,,0.9809,0.9772,0.5317,100.0
MVTec-WRN50-TopK5-TailW0.5-LogdetReg1e-4-ScaleCtxK7,mvtec,wide_resnet50_2,15,60,0.0002,16,0,64,8,4,0.0001,0.5,5,,7,3,True,True,True,True,True,True,True,True,whitening,,0.9822,0.9768,0.5194,100.0
MVTec-WRN50-TopK5-TailW0.5-LogdetReg1e-4-lr3e-4,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,4,0.0001,0.5,5,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9836,0.9771,0.5216,100.0
MVTec-WRN50-TopK5-TailW0.5-lr3e-4,mvtec,wide_resnet50_2,15,60,0.0003,16,0,64,8,4,1e-05,0.5,5,,3,3,True,True,True,True,True,True,True,True,whitening,,0.9827,0.9748,0.4848,100.0
